タイトル,タイトルURL,画像URL,Like,作者,manga_id,作品紹介,コメント,score
北くんがかわいすぎて手に余るので、３人でシェアすることにしました。 分冊版,https://manga.line.me/product/periodic?id=S115856,https://linemanga-obs.line-scdn.net/0h6D56Y1biaWsIT3dU15YWPD0SbwRxI35iYnk4X3MIYxg7KiY8MX4gDigKN18teyg0NX0/middle,1.0,榊こつぶ,S115856,手放せないけど、手に負えない・・・！　そんな極上イケメンヒモ男・北くん（26）を繋ぎとめるべく、東子（31・女）、南（29・女）、西野（24・男）の３人が手を組み導き出した答え、それが【カレをシェアするシェアハウス】生活!! 100％は望めない、０％は耐えられない、だから今は33％ずつの恋人でいい――。そう誓った（はずの）３人と北くんの、欲望にまみれた同居生活が、こうして始まりました。,80.0,801.0
神之塔,https://manga.line.me/product/periodic?id=Z0000197,https://linemanga-obs.line-scdn.net/0hVrcsRAkNCV1eChcb4JF2CntXDzInZh5UNDxYaSVNAy5tMx1sawUfS3p0A2pzbRtuJm4TbikDVWhxf04PZjkTayhY/middle,761.0,SIU,Z0000197,"物語の舞台は、「頂上に登れば、財産も権力も、何でも欲しいものが与えられる」という伝説の「神之塔」。自分の全てだった少女・ラヘルを追いかけ、塔に飛び込んだ少年・夜。しかし、彼の冒険は予想外の試練と秘密に満ちていてー。
次々と降りかかる試練、塔を目指し集まった猛者たちのあいだで、夜は自分自身の真の姿を知ることになる・・・。一度も太陽を見たことがない少年・夜と、ただ星空を追い求める少女・ラヘルを中心に描く冒険ファンタジー作品。",679.0,7551.0
死ぬか、あるいは恋に堕ちるか,https://manga.line.me/product/periodic?id=Z0003479,https://linemanga-obs.line-scdn.net/0hhMFx3x_JN2J7ASlmT5JINV5cMQ0CbSBrETdmVgBGPRFIURNqBSQjewZ7FisAeAJMRmUtAA0Ea1FTdHAwTzB_BQ0E/middle,16.0,HoneyB,Z0003479,"美しい街・ルーベルンで巻き起こる、謎の連続殺人事件。ある日、物静かで地味なイザベラのもとに、殺人鬼から招待状が届く。
いかなる快楽と幻覚に惑わされようとも、決して恋に落ちてはならない…命を懸けた十五日間の賭けが、今始まる！",90.0,916.0
皇帝の犬に転生しました,https://manga.line.me/product/periodic?id=Z0003653,https://linemanga-obs.line-scdn.net/0hbs6W-qqPPVwLLiNZVyRCCy5zOzNyQipVYRhsaHBpNy84HiB9RQkPPS9vChxAViUIU0omOyksZ2wlW3oOPxx0Myt7/middle,3.0,Lee huin(原作)・muneobal(作画)・Namdogyeom(脚色),Z0003653,"不慮の事故に遭い、異世界に転生した華。
お姫様として生まれ変わり、リッチでゴージャスな人生を送れるかもーー！？
しかし、目に飛び込んできたのは白くてモフモフな犬の前足で…",54.0,543.0
黒幕お坊ちゃまにお仕置きをしたら執着されてしまいました,https://manga.line.me/product/periodic?id=S148481,https://linemanga-obs.line-scdn.net/0h8G50uHnBZ2gISXZxLZMYPz0UYQdxJXBhYn82XHMObRs7eyJsYCl7CC0MOV12KXJqNX0/middle,21.0,REDCARROT・Quince・Lunal,S148481,黒幕の主人公の暴走を防ぐ18禁小説の中に憑依転生した　私は力のない主人公をいじめる悪役のメイド　世界の滅亡を阻止し、憑依転生者のバラ色ライフを送るため、原作を変えることを決意した　しかし、主人公に会おうと向かった先にいたのは　ふわふわまんまるほっぺを持つ5歳の姿の男の子で…？　力を奪われて、子どもの姿になった原作主人公　こうなった以上、とりあえずほっぺたを触らせてください！　こうして始まった第２の人生で、無事原作主人公の暴走を止められるのか？,47.0,491.0
野獣な皇太子を手懐ける方法,https://manga.line.me/product/periodic?id=S148074,https://linemanga-obs.line-scdn.net/0hRr4QbQTLDV0JKBzzEodyCjx1CzJwRBpUYx5caXJvBy46SB9fPR0QM3ltU2klHBlZM0c/middle,4.0,KIMJIWOO・Tricialimi・MSTORYHUB・U-NEXT,S148074,理不尽な離婚要求に耐えられず、別荘に逃れた令嬢レアは散策中に野犬に襲われる。一匹の黒ヒョウが彼女を救うが、実はその正体は皇太子で!?「俺の伴侶になってくれ」野獣な皇太子と令嬢の危ない恋の物語!!,25.0,254.0
限界突破～10万レベルの修行者～,https://manga.line.me/product/periodic?id=Z0003104,https://linemanga-obs.line-scdn.net/0hIXtROoIGFndJKwhOFldpIGx2EBgwRwF-Ix1HQzJsHAR6WhdXEkoEEQxbNjMabBVzKk8NEG8iSEViXlElfR1fGWx4/middle,2.0,3J,Z0003104,"五千年前の神話の時代…修行者であるアミンは自らの特異体質のために錬体期(れんたいき)を突破し次の境地へどうしても辿り着くことができなかった。師匠から伝えられた「大陸の核」を追い求め、アミンは古代の時代から五千年後の現在まで幾度となく転生を繰り返す。すでに彼の錬体期は99942層にまで達していた。
自らは転生することで永遠の若さを保つも周りは皆消えてゆく。
ある時死んだ仲間の家族が滅亡の危機にさらされ、アミンが転生した人間、皇蓮に協力を求める。
まずは10万層を目指すアミンは果たして現在の世界で次の境地へと達することができるのか？",30.0,302.0
死神令嬢は黒幕お兄様を救済したい,https://manga.line.me/product/periodic?id=S149778,https://linemanga-obs.line-scdn.net/0hCXm_qb8aHHdQJg3aLKpjIGV7GhgpSgt-OhBNQythFgRjRFokZRNaRnFjQkN8EFsnaBM/middle,5.0,佐川小巻・嘉七・PRISMstudio・Sony Music Entertainment (Japan) Inc.,S149778,「お兄様どうか幸せに―――」　王族に謀反を起こし、反逆者となってしまったバーンスタイン家公爵タイタス。彼は妹のメイディスを【王族の生贄】から守るために黒幕として暗躍していた。しかし、ついに追い詰められ兄妹共々殺されてしまう――。その瞬間、タイタスが反逆者になる2年前に死に戻りしたメイディスは、兄の死を回避し、【王族の生贄】の秘密を探るため、自分たちを殺した張本人である兄の親友であるディエル王子に婚約者として近づこうとするのだが…!?,56.0,565.0
青春ラブサム,https://manga.line.me/product/periodic?id=Z0003630,https://linemanga-obs.line-scdn.net/0hmuRfh_AgMlpvHyxyHw1NDUpCNDUWcyVTBSljbhRYOClcUXNoCQ4pfBV9Dw4bTAt_GnspPR8Xam5BanUIWiotOUgb/middle,26.0,ホンドク(原作)・NEMONE(作画),Z0003630,"「青々とはしてないけど、私は大丈夫」
前作『青春ブロッサム』のエピローグから１年後、院長先生が新しくオープンした「Cafe 青春ブロッサム & アトリエ」で春奈と大学の同期「葵」が繰り広げる青春たちの物語。
大学生、予備校生、社会人のロマンスが詰まった、新たなストーリーで帰ってきた青春シリーズ！",89.0,916.0
ガールクラッシュ,https://manga.line.me/product/periodic?id=S133644,https://linemanga-obs.line-scdn.net/0hLzxDZqY6E1VFPQP0fOFsAnBgFTo8UQRcLwtCYT56GSZ2C10ELF5YZjd4TWBpDgFTeAg/middle,2506.0,タヤマ碧,S133644,歌もダンスもできてスタイル抜群の百瀬天花は高校1年生。なんでも上手にこなせるけど、恋だけはうまくいかない。そんなとき、K-POPが大好きな佐藤恵梨杏に出会い、そのひたむきな姿に目がくらんで――。少女たちの青春は、K-POPアイドルの夢に向かって動き出す!!,525.0,7756.0
世界終末シェルター,https://manga.line.me/product/periodic?id=Z0003660,https://linemanga-obs.line-scdn.net/0hq6rIID8YLhlPMDAcEpFRTmptKHY2XDkQJQZ_LTR3JGp8U2EHdz0iNmhicn4rRjZNLFQ0ejgweCtgRWlLewJneT43/middle,17.0,ROAD WARRIOR(原作)・Double_S(作画)・DD(脚色),Z0003660,"3年後、この世が滅亡すると予測しあらゆる準備を整えてきた「滅亡主義者」パク·ギオ。
そして彼の予想どおり、ある日、ソウルへの空襲を皮切りに全世界は核戦争へと突入。空前絶後のアポカリプスが繰り広げられる。
周りの嘲笑に屈することなく、全財産をはたいて３年前から黙々と自分だけの防空壕を作っていた主人公のパク·ギオ。
彼がこれらすべてを見通していたのは、果たして単なる偶然の一致なのだろうか？",16.0,177.0
大悪党たちの師匠に転生した,https://manga.line.me/product/periodic?id=Z0003291,https://linemanga-obs.line-scdn.net/0hAyQArUQYHlZsOABsnBRhAUllGDkVVAlfBg5PYhd_FCVfXz9_IwJSSk16IwUISStiClwEOEgxQ2JJTVkEWA5SNU5r/middle,18.0,TENCENT Animation&Comics,Z0003291,"修仙界ナンバーワンの大悪党、姫天道に転生した陸田秀司は、転生した矢先に命の危機にさらされていた。
生き延びるためには自分や弟子たちが善行を積むことで、功徳点を稼がなければならないのだが、スタートの点数はなんとマイナス10万点！？
さらに、弟子たちは九人とも姫天道によって悪党に育て上げられているため、功徳点はなかなか増えない…。

果たして彼は、過去の自分が育てた悪党を改心させ、残り寿命を延ばすことができるのか――",12.0,138.0
ゴッドハンド天魔様～心の凝り、ほぐします～,https://manga.line.me/product/periodic?id=Z0003648,https://linemanga-obs.line-scdn.net/0hNLtLtZJUEWNJNQ9mFPFuNGxoFwwwWQZqIwNAVzJyGxB6ezZSEjQ_VQxRPC8ibjBGClELDG43R1RtQFYxfQdYA2U3/middle,29.0,Lee Seokjun(脚色)・ Soso(作画)・TwinRabbits(原作),Z0003648,"天に届く魔(ま) 天魔(てんま) と呼ばれたカン・テハン
60年ぶりに ついに元の人生に戻る！

「ほう こんな恵まれた時代に このていたらくとは…」

「そなたの身体が助けを求めて叫んでいるのが聞こえぬのか？」

老け顔で説教くさい天魔 カン・テハンの
肉体的 精神的 疲労回復プロジェクトが始まる！

酒と残業に疲れ果てたサラリーマン
身体を壊して成績が振るわないアスリート
人生の重みに押しつぶされそうな一家の大黒柱
その重みに耐えるために脂肪を蓄えた現代人

人生に疲れた現代人よ 皆ここに来て 癒されるがいい！",10.0,129.0
知らないアイツ,https://manga.line.me/product/periodic?id=Z0003275,https://linemanga-obs.line-scdn.net/0hhR9iAgJ2N30EECkl4-JIKiFNMRJ9fCB0biZmSX9XPQ43S3dIW3EmYXFpaixPYQprTHQtHygVYEkuZXAvPiR4GykU/middle,101.0,kang eun young,Z0003275,"全てを分かり尽くした、幼なじみのカン・シンナとキム・ラウン。
ある日シンナは、ラウンの二重人格的な姿を見る事になる。
純粋だったラウンが、突如サイコパスに…！
ラウンの秘密を自分だけが知る事になったシンナ。
親しかったラウンが赤の他人のように感じ、戸惑い怯え、試練の日々を過ごすのだが…",39.0,491.0
ふつうの女の子,https://manga.line.me/product/periodic?id=S150075,https://linemanga-obs.line-scdn.net/0hO0S2WiHwEB9uSwGhbYBvSFsWFnAXJwcWBH1BKxUMGmxdcwNMAHlacEIOTitDfwRMUn8/middle,29.0,蒼井まもる,S150075,「目に焼き付けて　最初で最後の私たちの赤ちゃんよ」某所某日、ある夫婦のもとに女の子が生まれました。アンと名付けられたその子の、一生のお話。,20.0,229.0
好き？なら死んで！,https://manga.line.me/product/periodic?id=Z0003404,https://linemanga-obs.line-scdn.net/0hb9be4qpBPRZfHCMSEhZCQXpBO3kmcCofNSpsIiRbN2VsZCI8Oxt6BDpYYSYCXnsJAHgndXoYYiJ7aXpEay11dn9J/middle,1.0,ヨンキ(原作)・jaw(漫画)・PTJ cartoon company(企画),Z0003404,"男なら一度は振り返って見るような美貌を持つ｢美玲｣の
職業はネット配信者、ライバー。
視聴者数を増やして有名になることだけを夢に見ながら、
必死に頑張ってきた彼女に、ゆっくり近づく二つの黒い影。
まんまとやられるなんて冗談じゃないわ！
｢お互いにやり合って死ねばいいのよ｣
三人の若い男女がオンラインとオフラインを行き来する
サスペンススリラーラブロマンス！",34.0,341.0
悠の純情,https://manga.line.me/product/periodic?id=Z0001664,https://linemanga-obs.line-scdn.net/0hNZyTvoDHEXVELQ9wdsduImFwFxo9QQZ8LhtAQT9qGwZ3HB0ifygKYzZGFRg1aAJFeEkLGmMvRkFqWFYncB9ZFDF4/middle,15.0,esol,Z0001664,女子高生に間違えられるような容姿をもつ悠。彼は校内の人気者、麗に密かに恋していた。しかし人見知りな悠は同じクラスの麗に話しかけることすらできないのだが・・・,87.0,885.0
二度目も娘に生まれました,https://manga.line.me/product/periodic?id=Z0002370,https://linemanga-obs.line-scdn.net/0hwQbHD20FKH5fMTmsfAhXKXpsLhEmXT93NQd5SiR2Ig1sdhhVGwpvHiE1NS85WBhLE1UyGC4xf09xRG8tNFdjHH5l/middle,183.0,Yong Wonchang(漫画)・New pangpang(原作),Z0002370,"私は長女として生まれ5歳で死んだけど、二度目の人生も同じお母さんのもとで生まれた。七歳になった頃お母さんが亡くなった。遺品として残した紙一枚を持って旅に出たとたん出会ったピンク色の髪の毛を持つ男。あなたが私のお父さんですって？ しかも皇帝！？ お兄さんも3人いる⁉
お母さん…私、新しい家族と仲良く過ごせるかな？",158.0,1763.0
反逆の戦神,https://manga.line.me/product/periodic?id=Z0001775,https://linemanga-obs.line-scdn.net/0hh5TJ_DViNxppMykjaNFITUxuMXUQXyATAwVmLhJ0PWlaBgoOKFQ6PhdFa35GZDcpXVctLko1by5ERnBIXQV6fhw3/middle,2.0,XIAOMINGTAIJI,Z0001775,"最強の武魂を持つ戦神だった大成だが、信じていた者たちに裏切られた…
百年後、廃人扱いをされる弱い体の持ち主に転生する。天はまだこの俺を見捨ててなかった！天下無敵の戦神と呼ばれた男の痛快な復讐劇が今始まる――！",22.0,222.0
救済に疲れたのでもう休みます,https://manga.line.me/product/periodic?id=Z0003397,https://linemanga-obs.line-scdn.net/0hnhp8VPeDMUdNQS8oyDFOEGgcNyg0LSZOJ3dgczYGOzR-Oix6CC8hZhoUGwNmCixPLyUrdGBEbHBmNHYVdCIudmhH/middle,20.0,chomeong(脚色)・dolla(作画)・oceanlady(原作),Z0003397,"悪魔に支配された現世を救うために何度も回帰するが、結局失敗に終わってしまう助け人のヨンハ。
15回目の回帰では、助け人の使命を放棄することにする。
ところが弟子ができて…。世界がどんどん救われ始める？
果たして休みたいというヨンハのバケットリストは叶えられるだろうか？",26.0,280.0
キャンパスラブらしいよ、知らんけど,https://manga.line.me/product/periodic?id=Z0002801,https://linemanga-obs.line-scdn.net/0h-7z6XYaYchhHT2wdAXINT2ISdHc-I2URLXkjLDwIeGt0LHwGIVNuKRVNbnAWLGEQOStoKzBNLyxoOjVKc307fWYf/middle,10.0,孔哲陳,Z0002801,"平凡な大学生ハユン。 突然の旅でにカンオンに遭遇する。 
カンオンはハユンに一目惚れして告白するが、
ハユンは彼を断る。 
そして二度と会うことはないと思っていた二人は
学校のサークル募集期間に再会することになるが..! 
あれ？どういうわけかサークル「君」に一緒に入って、え？
 「君」の会長ジイルまでハユンが好きなの？！ www
 これ妄想じゃない。 本物。",52.0,530.0
君に贈るキヅタ,https://manga.line.me/product/periodic?id=S150795,https://linemanga-obs.line-scdn.net/0hXrlAz3EgB11ROBk6md94CmRlATIoVBBUOw5WaSp_DS5iX0kObFtLbyR9WWl-XUdYb18/middle,20.0,Ｍａｒｉｔａ,S150795,人生２度目の「転生者」・菫(スミレ)は、前世で受けた恩を返すため、恩返しの対象者を探す日々を過ごしていた。ある日、幼馴染みの烏羽（カラスバ）に、この街に来たばかりだという青年・琥珀(コハク)を紹介される。菫は琥珀が自分の対象者であると感じ、彼を幸せにしたいと強く思うのだが、二人の間には大きな秘密があって…？,64.0,660.0
炎上するほど最強へ～配信無双の復讐者～,https://manga.line.me/product/periodic?id=S150399,https://linemanga-obs.line-scdn.net/0hSrFX8uaODF17IR3bcgdzCk58CjICTRtUERddaQBmBi5IRk5cEEYTOF9kUmlWRBsDEEc/middle,3.0,黄波戸井ショウリ・Plott,S150399,「ダンジョン」へ繋がる扉とそれを攻略する「覚醒者」が活躍する現代世界。無能力者の主人公・赤城炎馬(あかぎえんま)は、ダンジョン攻略の配信活動を行う覚醒者の妹・あゆみのサポートを行なっていた。しかし、ある日兄妹は何者かに襲撃を受けてしまう。意識を取り戻した炎馬の目に真っ先に映ったのは無惨に殺されたあゆみの姿…。怒りと復讐心に染まった炎馬の前に突如現れたのは「ヴォックス」と名乗る謎の魔族。復讐のために全てを投げ打つ覚悟をした炎馬はヴォックスと契約し、“炎上するほど強くなる”という能力を得る。妹を殺した謎の男に復讐するため、炎馬は「炎上系配信者」としてダンジョン内に蔓延る法で捌けない悪を捌きその名を轟かせていく。【クレジット】黄波戸井ショウリ（原作・脚本）萬 福朝　/　青柳宇一郎　/　かかしのかかと（ネーム）イマサダ(キャラクターデザイン)デジタル職人株式会社（キャラクターデザイン・線画・背景・着彩・仕上げ）新倉拓馬　/　小林冬芽　/　小林栄暁　/ 　村山亜里紗　/Plott（プロデュース・ディレクション）,17.0,173.0
転生聖女の後かたづけ,https://manga.line.me/product/periodic?id=S147733,https://linemanga-obs.line-scdn.net/0h5xOeCWHlaldyHHtmongVAEdBbDgLcH1eGCo7YwlbYCRBKi5VGnNxNlFZNGJXLiQCHXg/middle,5.0,天乃聖樹・西屋仁紀・よるま・かしきな・booklistaSTUDIO,S147733,「千年のあいだ　貴女をお待ちしておりました」　天涯孤独の少女アウラは、自分が大聖女の生まれ変わりだと知る。かつて彼女を愛した大精霊たちは、アウラの死を嘆いて闇に堕ちていた。愛する大精霊たちを救うため、アウラは王子レオンハルトの特務部隊に参加する。「これは　千年前の後かたづけ」,35.0,355.0
初恋の離婚弁護士になりました,https://manga.line.me/product/periodic?id=S150244,https://linemanga-obs.line-scdn.net/0h6OrMQ7_0aWBPNHjeH2AWN3ppbw82WH5pJQI4VDRzYxN8DC4ydQF1BzhxN1RiAy81elA/middle,3.0,SY・サイハラ・拓思文化,S150244,売れっ子俳優の道を後にして、幸せな家庭を夢見て結婚を選んだ二上真希。彼女の夢は夫の浮気によって終わりを告げた。離婚を決心した今、真希に必要なのは息子に対する養育権を取ってくることだけ。夫との負けられない戦いをはじめようとしたその時、彼女の前に危険そうな男が現れる。,9.0,93.0
このキスは演技じゃないから,https://manga.line.me/product/periodic?id=S147066,https://linemanga-obs.line-scdn.net/0hrZMktRT0LXVwEjM8yC5SIkVPKxoJfjp8GiR8QQtVJwZDJWxwGHE1RFRXc0FacW5zGCQ/middle,10.0,ボルテージ,S147066,【消えた天才子役×超人気俳優の起死回生ラブストーリー】かつて天才子役として名を馳せていた藍原澄は、主演舞台の公演当日に舞台に現れることなく、ドタキャン女優として一瞬にして週刊誌や世間を騒がせた。しかしそれは、親友に仕組まれた罠だった……。数年後、世間から隠れるようにして生きる澄の前に、かつての親友で自分を陥れた張本人・藤崎ゆりが現れる。澄は女優として第一線を歩むゆりに復讐をするため、再び芸能界に戻る決意をする。「やっぱり私には、演技しかない」圧倒的な逆風の中、窮地を救ってくれた人気俳優・真木耀介との共演をきっかけに、二人は次第に心を通わせていき……＜企画・原作・監修・制作＞ボルテージ＜脚本＞和泉杏咲＜ネーム＞白水汰一＜キャラクター線画＞nemo7＜背景線画＞サクシード株式会社＜着彩＞十神イロ（1話）・サクシード株式会社（1話～）,12.0,130.0
忌み子と呼ばれた召喚士@COMIC,https://manga.line.me/product/periodic?id=S118911,https://linemanga-obs.line-scdn.net/0hX-teT5GfBwJJHBa5uKh4VXxBAW0wcBALIypWNjJbDXF6eBUEcn1NYWlZWTZkJBBXcng/middle,0.0,コイシ・緑黄色野菜・こよいみつき,S118911,「俺の家族に手を出す奴には容赦しない！」『人×精霊』の家族が世界を揺るがす爽快召喚バトルファンタジー、待望のコミカライズ！！描き下ろし特別漫画 ＆ 原作・緑黄色野菜先生による書き下ろしSSを収録！【あらすじ】膨大な魔力と叡智を持つ精霊の力を得るため、人々が躍起となる世界。黒髪黒目の忌み子・ヴィルムは家族である精霊達と共に里を守る日々を送っていた。ある日、自ら下した判断の責任を果たす為、外界へと旅立つ事になる…。はぐれ者と精霊獣姉妹が“結果的に”世界を変革する、爽快召喚バトルファンタジーが今、始まる！,47.0,470.0
復讐のための結婚同盟,https://manga.line.me/product/periodic?id=Z0002480,https://linemanga-obs.line-scdn.net/0hHAVgBjQ8F25rHgdx2fxoOU5DEQEScgBnAShGWhBZHR1YXAhjLXEMVEtKLiQydhNnMn8KDx4XTVxEa1A6BH0MDx4a/middle,1602.0,EMMA(作画)・YUN HEESA(原作),Z0002480,"クーデターを起こし皇帝となったグストーと結婚したオリビア。
皇帝の陰謀により、妊娠後毒殺されるが貧民街で暮らしていた、見ず知らずの女性の体で目覚める。
その後、幼少期に決別した婚約者ルーカスと遭遇。クーデターで皇帝の座を奪われた“本当の”継承者ルーカスに、オリビアは自分の正体を隠して復讐のための結婚を提案する。
ルーカスも見ず知らずの女性からなぜかオリビアの面影を感じて……二人の復讐劇はいかに！？",255.0,4152.0
キリング・キラー,https://manga.line.me/product/periodic?id=Z0002727,https://linemanga-obs.line-scdn.net/0hEM43t1KXGmIJSgRnVzNlNSwXHA1wJg1rY3xLVnINEBE6ASpHRWgFZVFNBRVfPTswZy4AAH9IRlQkP10wPXhTVCwe/middle,0.0,ABack,Z0002727,"10年前、殺人鬼によって両親を殺された
主人公「和泉佑(いずみゆう)」
ついに仇のジャックの首を切ることに成功するも…
なんとジャックが生首のまま話しかけてくる。
「君の両親を殺したのは僕じゃない」
真犯人が超能力を使う殺人鬼集団に属する
「契約者」だと知った和泉佑はジャックの手を借り、
契約者たちを狩ることを決意する",17.0,170.0
最強の種族が人間だった件【タテヨミ】,https://manga.line.me/product/periodic?id=S126999,https://linemanga-obs.line-scdn.net/0hzxuzpHt_JVdIAzXhFhVaAH1eIzgxbzJeIjV0YzNELyR7MGVVfW0-NDhGe2JkZjUIJmQ/middle,621.0,柑橘ゆすら・夜ノみつき・ななき・野々宮ななほ,S126999,人間でいることが最強の条件だった！　ある日突然、剣と魔法の異世界《アーテルフィア》に召喚された俺。平凡なサラリーマンの俺が、なぜか目の前にいたエルフの美少女・リアに「人間さま」とか呼ばれちゃって、超崇拝されてるんだけど!?　なんと俺が召喚された異世界では人間こそが『最古にして最強の種族』だった！　この世界では俺の髪の毛一本ですら、規格外の魔力があるらしい。俺の力を巡って争いが起きるのを避けるため、リアと共に安住の地を築くことに！　家の地下に温泉を見つけたり、スライムが俺の人間パワーで可愛い幼女になったり、なんでもありの無敵の人間パワーで、俺はストレスフリーの異世界ライフを満喫することを決意するのであった！,79.0,1411.0
ライフ・チェンジ～人生交換で勝ち組確定～,https://manga.line.me/product/periodic?id=Z0003524,https://linemanga-obs.line-scdn.net/0hU_ShyNlCCnBuERRJZcp1J0tMDB8XfR15BCdbRBVWAANdSDJYNAIxFTNkIisQXRN1FHUQQxgYVUlEZE0iWidGQ01D/middle,1.0,Chadian animation(作画)・Ghosts(脚色)・dumpling(スタッフ),Z0003524,"突如主人公木田達彦の前に現れた怪しげな表示。
「人生を交換して誰かに解決してもらいましょう！」
それは達彦にしか見えていないようだった。
招待状を受け取り逃げ道はないと参加する達彦。
顔しか取り柄がなく不安になる彼だったが、なぜか人生を交換してほしいと人気者に…！
果たして達彦が選ぶ人生交換相手とは、そしてその行方は！？",3.0,31.0
ザ・ハンマー～回帰した大陸最強騎士～,https://manga.line.me/product/periodic?id=Z0002792,https://linemanga-obs.line-scdn.net/0hPdn95GezD0tTQB612uFwHHYdCSQqLBhCOXZefygHBThgeDt0DSMkWHA8Fit8Kgh_bSQVLSZIVHx5NUgYOiIQfiJH/middle,104.0,Painkiller(原作)・Mensu(作画),Z0002792,"魔王軍７軍団長の頭を最後の一撃で割ったあと、死の危機に瀕した「タイニィ」。
人類の滅亡を食い止められなかった絶望の中、唯一辛うじて息があった戦友である「剣帝」は、家宝の力を借りてタイニィを回帰させる。
大陸最強の騎士からスラムの孤児に戻ったタイニィは、前世では得られなかった新たな力を手に入れ、強い潜在能力を持つが…。
果たして、今世では人類の滅亡を防ぐことができるのか？",54.0,644.0
サキヨミ！,https://manga.line.me/product/periodic?id=S134274,https://linemanga-obs.line-scdn.net/0hj5vl-QoENRpLFSW42FpKTX5IM3UyeSITISNkLjBSP2l4cXYeI3EtL29Qay9nJndOf3U/middle,40.0,山口美由紀・七海まち,S134274,私、如月美羽には誰にも言えない秘密がある。それは、人の「顔」を見てしまうと『良くない未来』が見えてしまうことがあること――！大人気小説、待望のコミカライズ！,33.0,370.0
1/3の記憶はないけれど,https://manga.line.me/product/periodic?id=Z0003506,https://linemanga-obs.line-scdn.net/0hIue4wCWlFlpYTQheb2NpDX0QEDUhIQFTMntHbiMKHClrOwt3bG4BZjk9DWMBJTl3ZCkMPC9ISGlxOFEIbHxePHpF/middle,0.0,Danggwa,Z0003506,"「30歳になってもお互い独り身だったら結婚しよ！」
世間知らずの中学時代、幼なじみと冗談で交わした約束。
数年の月日が経ち、30歳になる年。蓮花は、大学時代からの彼氏との婚約破棄にショックを受けてしまう。呆然とと歩いているところを車に轢かれてしまい、ふと目覚めると10年間の記憶が消え、幼なじみが私の家族として対応していた。
家族？あんたが私の家族だって？
「私たち、本当に結婚したの!?」",14.0,140.0
妖魔狩りの末裔－俺だけ不死身の覚醒者－,https://manga.line.me/product/periodic?id=S151361,https://linemanga-obs.line-scdn.net/0heWPqHGPBOnhtCCQMDh5FL1hVPBcUZC1xBz5rTBZPMAteaikqUm1yHEpNZExEOX0sA24/middle,0.0,売報小郎君・CAT-CreativeGroup・JAMTOON,S151361,平凡な大学生の佐良羨心（さがら　せんしん）は、20歳の誕生日に家系の秘密を知らされる。本当の親が別にいて、遺産を遺してくれていると―。遺言通り遺産である黒い玉の封印を解くと、巨乳美女な那瑠（なる）が登場！その日から生活は一変、今まで見えなかった妖魔が見えるようになり、那瑠と共に戦う日々が始まった。羨心は能力を覚醒させて鍵を集め、妖魔の宝物が眠る伝説の秘境・万神宮に辿り着くことはできるのか…！,4.0,40.0
残影の夜,https://manga.line.me/product/periodic?id=Z0002138,https://linemanga-obs.line-scdn.net/0hHQ-XOHNcF34QIQl7XUNoKTV8ERFpTQB3ehdGSmtmHQ0jRSBaaxkmYUJHOi9hTQxPbEUNTTMiQUk4VFAsJBNfHjYl/middle,10.0,yung,Z0002138,予知夢を見る｢広田美波｣は、ある日忘れてしまっていた悪夢の内容を思い出す。ノートには記憶にない夢に関する内容が書かれているが..。「こんなの描いた覚えはない…でも、これは私の夢のはず…。」夢で見た怪物たちが少しずつ現実に現れ、特別な能力を持った人々が姿を見せ始める。,31.0,320.0
恋愛攻略ゲームは一度じゃ終わらない!?,https://manga.line.me/product/periodic?id=Z0002586,https://linemanga-obs.line-scdn.net/0hUh-tlfPeCkcQDRR-Q2V1EDVQDChpYR1Oejtbc2tKADQjZT5JbxJDUmJYBwtebylSK2kQKTUOVnU1eE0VJDtMJTZa/middle,0.0,CHINA LITERATURE,Z0002586,"乙女ゲームの世界に転生した私は、バッドエンドを迎えた。これで元の世界に戻れると思いきや…なぜか乙女ゲームの世界に再び転生してしまった。しかも攻略キャラたちの好感度が80％のまま始まっていて逆ハーレム状態に！？
果たして5人の男を同時に攻略して元の世界に戻ることができるだろうか？",36.0,360.0
トロールトラップ,https://manga.line.me/product/periodic?id=Z0001215,https://linemanga-obs.line-scdn.net/0hqD2caezxLmsPGjBuSbNRPCpHKAR2djliZSx_X3RdJBg8fDk9NCYmaHxdIwAlfGk1dn41DHoYclkmb2k5OyhnDn5O/middle,1.0,u.bi,Z0001215,トロールを倒し、人間を救え！正体不明のハンター・アツアツによる爽快アクション,27.0,271.0
夫婦不性活 ～夫はヤリたいけど私はしたくない～,https://manga.line.me/product/periodic?id=S140154,https://linemanga-obs.line-scdn.net/0hRZbGnumsDXVfPh3-VKRyImpjCxomUhp8NQhcQSR5BwZsWk10NF9CEip7U0BxBxpxZg0/middle,1144.0,びばる,S140154,子煩悩でイケメンの夫を持つめぐみは幼稚園児の息子を持つアラサ―主婦。目下の悩みは、「夫とセックスしたくない。夫とのセックスに感じなくなっている」ということ。そんなめぐみの思いをよそに、毎晩のように求めてくる夫。今夜のお誘いはどう断ろう？デリケートな夫婦のセックスのホンネに迫る注目連載スタート!!,567.0,6814.0
